"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
-0.763769252745951,-0.756247301913251,-0.706354164445699,-0.628923677467162,-0.541431218554417,-0.574536708912153,-0.577618247656158,-0.55958869031663,-0.564343805593631,-0.557288882297675,-0.51524682936303,-0.478474600927128,-0.48253801119009,-0.461923461005461,-0.481194891010085,-0.502146861003072,-0.481675174521573,-0.452790960334255,-0.426855557498575,-0.432940518165694,-0.447465018751326,-0.450026933963394,-0.457578726920664,-0.470962853851278,-0.46472131204,-0.461044069611902,-0.459180978729204,-0.445436634029455,-0.416749921393585,-0.414181552434121,-0.40888740282407,-0.405503568768378,-0.417224947858642,-0.434472916067051,-0.431183872034236,-0.404823558252059,-0.39597776087743,-0.386037028336239,-0.412210023643975,-0.40816047106385,-0.400068677852322
-0.850570856293849,-0.826502338502307,-0.78533943230032,-0.761792177792537,-0.71326251091216,-0.718237150941478,-0.713465978688301,-0.681215343711027,-0.654173151654428,-0.615101324723163,-0.612814952729957,-0.63474731223437,-0.602793816431834,-0.62187017284289,-0.593293237699137,-0.591744769258152,-0.570628860965084,-0.565294651714057,-0.569271240961605,-0.558614713387999,-0.534337771885929,-0.50702142276345,-0.498669137213746,-0.474590465437834,-0.471676887519509,-0.456928721278676,-0.443931435116207,-0.454102931840326,-0.441116781545989,-0.409268488012533,-0.401105496714039,-0.41093935860774,-0.408013620991213,-0.391579175607969,-0.388152177301032,-0.402681846734053,-0.395252149590406,-0.392827644707633,-0.384881207435009,-0.363333553774543,-0.348866118522646
-0.816660127951612,-0.762960310362524,-0.7250698131155,-0.673974760823468,-0.647767915505125,-0.649137537762144,-0.582865380998729,-0.608319383777375,-0.568259144677836,-0.548194217149401,-0.545477477391015,-0.5185176949519,-0.523571249486353,-0.50054582172602,-0.463340463934392,-0.435792016088453,-0.439055010506754,-0.447792114732491,-0.435640757196757,-0.443670310364595,-0.444509569671792,-0.469509850280281,-0.458706474440743,-0.486114396840305,-0.476900861671556,-0.472307202401857,-0.480236164303147,-0.463691384629376,-0.450037172122882,-0.47549790089495,-0.467351189627249,-0.446875930991777,-0.432172552558916,-0.427779058610205,-0.420581330978213,-0.431566607912393,-0.420170158811286,-0.422288994461016,-0.41186019693954,-0.408684421428495,-0.403046742600601
-0.76622745830315,-0.760256026784785,-0.69390327770038,-0.645367057277312,-0.628413366461542,-0.602981112332643,-0.593967121517711,-0.554361940057842,-0.54631485222572,-0.523579118649067,-0.529127040780725,-0.540456505186653,-0.537286831444867,-0.512411978674176,-0.509439029893407,-0.528411103001794,-0.506453081180353,-0.488693018588841,-0.507109418393318,-0.515627172845255,-0.516617485290469,-0.528535429592546,-0.526160700142825,-0.496766051154796,-0.481878919111176,-0.484493458325603,-0.484361497890659,-0.499681210782515,-0.491146020198853,-0.478230073388225,-0.45429226155327,-0.45649869061476,-0.459509129267482,-0.433188651237343,-0.439799468691005,-0.442098661147763,-0.434738920441485,-0.416150331169527,-0.422269878917186,-0.405070970199496,-0.39424313178774
-0.819753658587213,-0.785497259226008,-0.745637371084591,-0.763963458692538,-0.812427942267662,-0.781686652428489,-0.762584035956494,-0.735653872363596,-0.744282504466332,-0.702372830117293,-0.674250839467993,-0.635817106054289,-0.60519864142239,-0.595652724470914,-0.636663955378371,-0.615012590166337,-0.584293635727203,-0.562382135271104,-0.54822994419788,-0.51751792374145,-0.543643777623676,-0.5296133170678,-0.543003180159392,-0.508992106536822,-0.507639723603033,-0.525381939596468,-0.544124938094964,-0.563028380928143,-0.571794241041369,-0.54836663379379,-0.556138154634154,-0.559541896643997,-0.527674962354399,-0.508636690589112,-0.49000068241697,-0.48782638955333,-0.462740630402596,-0.449304428476848,-0.447349344986521,-0.445582517015676,-0.449747328684678
-0.77828066544103,-0.761799467208162,-0.705944966505352,-0.712603434041901,-0.659619477197062,-0.66223390152844,-0.659027216194432,-0.636450212714964,-0.599945824898136,-0.581750978776597,-0.579504616162374,-0.57161816594393,-0.55433755398301,-0.54144554476451,-0.532005310215625,-0.493046773163096,-0.477650949294411,-0.474114841699957,-0.492747662913229,-0.498610263689633,-0.50695518727071,-0.517409586322278,-0.53636827600006,-0.52323931499637,-0.51099787335903,-0.489470894283125,-0.490566037889019,-0.479685313078088,-0.452719577067157,-0.457591393087393,-0.431553070122856,-0.433366860908716,-0.400519984420088,-0.397589903523087,-0.412573783519147,-0.409096052426796,-0.407178624727373,-0.399680873374394,-0.421106996999963,-0.386202327299408,-0.399177870233954
-0.822733771294572,-0.81422477851256,-0.776352149682873,-0.763499972499089,-0.744807478519913,-0.714684298373798,-0.696698617763972,-0.677703215990714,-0.673677464139269,-0.647180147177888,-0.627112628609582,-0.643007508657275,-0.62544166621528,-0.611682976818978,-0.580193094124654,-0.557530870387348,-0.56424590239709,-0.55721194286762,-0.575917410381334,-0.599985654183487,-0.616194135055431,-0.615952150579461,-0.574990232710003,-0.551589863785064,-0.553495459709441,-0.55899978244873,-0.564405649646156,-0.56394879735231,-0.604270458537036,-0.591648624560243,-0.603101999747109,-0.602522298550593,-0.594853257907425,-0.600276425782763,-0.602844247537697,-0.597043853069693,-0.598992478884725,-0.591152512082319,-0.589020040002607,-0.582966596212426,-0.592099252533302
-0.79767330279107,-0.713913089716186,-0.762808206472311,-0.738008460132822,-0.659764519905067,-0.630086732414368,-0.613554566632441,-0.563412064665664,-0.56853019016809,-0.538379351432062,-0.526244346514318,-0.518293070910635,-0.502916287758099,-0.501431273911527,-0.511976088905772,-0.491905900555848,-0.470306739004323,-0.485200564245412,-0.477332219262014,-0.478542787599516,-0.469867415889103,-0.496791403004337,-0.470092076950182,-0.448795028110499,-0.45060486965961,-0.432517029512866,-0.43271144870511,-0.439876381671816,-0.424193325468087,-0.420275614207812,-0.429143393757659,-0.42379679916139,-0.425178951816063,-0.438275352897202,-0.43061599195532,-0.421586274275159,-0.432372983629931,-0.440140818517577,-0.450018043641525,-0.448772699402672,-0.454010607486112
-0.957826568583326,-0.91382238655002,-0.843999540920791,-0.788893369606235,-0.747007044255705,-0.684339551458528,-0.663742273402227,-0.629880330873923,-0.660783059303447,-0.629870723833901,-0.640822149279785,-0.621523150914978,-0.606142020310574,-0.572137285865564,-0.535434680051973,-0.497056895353988,-0.483897233371133,-0.462667110725746,-0.477475323024661,-0.47833899593253,-0.47419743613817,-0.470344642357208,-0.453778556392042,-0.462700299842655,-0.436717661062334,-0.444172350234489,-0.425863333652358,-0.39985432110267,-0.387663001410125,-0.408237450242342,-0.414437865219789,-0.407368352116855,-0.403961775854565,-0.39235191076549,-0.415548586669282,-0.426255319332246,-0.419005911300269,-0.400148385756402,-0.386740413711205,-0.378784408793728,-0.391478653375724
-0.960869162047649,-0.941347491857706,-0.891326004917367,-0.82049376088814,-0.802287083560061,-0.751900434378638,-0.683309344849244,-0.642710355034611,-0.667402896462513,-0.626029342455862,-0.616733430025768,-0.598017789514411,-0.570780910153807,-0.532654413406815,-0.515127371335339,-0.49925023626936,-0.503823170835166,-0.493449387090101,-0.485920233769903,-0.484408780395537,-0.494266052949757,-0.497745526933312,-0.470795625393035,-0.449849714552904,-0.454357970609672,-0.448174148559761,-0.459398021753197,-0.474391562908217,-0.46039651310652,-0.45192789800722,-0.469081951464054,-0.478462432846881,-0.485004655326923,-0.489349735932016,-0.508366989831259,-0.460969178320523,-0.460822337334616,-0.457820683421515,-0.462552722963266,-0.441218074257251,-0.434065534886479
-0.794915717758868,-0.782787773276275,-0.817899161346013,-0.776199626154706,-0.742125437173449,-0.69092937175157,-0.660699878073414,-0.659585089159323,-0.640458843299245,-0.624657456683713,-0.615954464486513,-0.61489426701079,-0.575672900355512,-0.57629724450948,-0.565517272341426,-0.575212728107483,-0.58207467913477,-0.57688482217934,-0.542832977127161,-0.538455250560562,-0.548957651461857,-0.524112817930406,-0.515360437679861,-0.528487189074336,-0.521016584303502,-0.547194941261036,-0.546405641989425,-0.537872297423242,-0.528719342929009,-0.538538919560164,-0.533964576442411,-0.531418204674633,-0.531903171661416,-0.530209071815712,-0.506588752774762,-0.512002286540033,-0.511241083897469,-0.526452459217899,-0.514838719112092,-0.511637114053575,-0.527539374390721
-0.914181590836609,-0.832356899562533,-0.81859199766433,-0.773413559184735,-0.734253882297604,-0.721751727766869,-0.7086959293725,-0.666092603392273,-0.624154839724898,-0.602348236076315,-0.602221690721675,-0.5961640554537,-0.578894789669002,-0.580851346764785,-0.607604185893693,-0.58568155167056,-0.573949891498278,-0.573260850150573,-0.579976423249873,-0.591993496401821,-0.601788471973202,-0.585507356532015,-0.574516876045612,-0.526080781517259,-0.53830445646045,-0.547846878860631,-0.527828915851624,-0.527988513753886,-0.520972757020594,-0.499368451762586,-0.480599053114925,-0.450986597707699,-0.437623557955984,-0.44654754878777,-0.444100418842839,-0.44413815099725,-0.4550231227745,-0.456029617978574,-0.479957509385794,-0.478031482731396,-0.46630941219159
-0.863193043016978,-0.863864590842022,-0.779025703260995,-0.736225151689828,-0.696789305820696,-0.641267019850737,-0.64734251213655,-0.670567871286122,-0.653298941553797,-0.649983081235576,-0.61288124651451,-0.602995091826721,-0.596308829633194,-0.539810150966069,-0.522340132907388,-0.485568064414932,-0.479823412349932,-0.494784705925143,-0.483433686668818,-0.496005464873711,-0.509757034116894,-0.491819815663325,-0.506400965641323,-0.511747392940445,-0.51364681873803,-0.524109191256437,-0.506927516909567,-0.487296458208053,-0.503483154871416,-0.486977416659603,-0.484049834395724,-0.468307351601775,-0.455294623769478,-0.451088843226328,-0.440151220122736,-0.450145916295566,-0.438336557121576,-0.4366557537775,-0.41666665664508,-0.431919698183534,-0.444532289414169
-0.892997759388953,-0.817157290785071,-0.785308536439901,-0.761166199377951,-0.698834017552061,-0.667713624570012,-0.659263499377392,-0.618716826567989,-0.633812945061647,-0.602677897735126,-0.601608509186225,-0.576777892676813,-0.573841593421069,-0.566055448913892,-0.568037076253104,-0.548613293504659,-0.526627396479614,-0.529667517568744,-0.532133826687122,-0.510881678893153,-0.498809320293077,-0.480717498573523,-0.452374648559137,-0.453846945803185,-0.457321436827235,-0.452215105379234,-0.446624262403117,-0.438576338446014,-0.433330372196773,-0.436886716131365,-0.436794810431157,-0.431690771951223,-0.411078046679013,-0.407730201269433,-0.405114799622196,-0.388687930809862,-0.378337433927591,-0.378976316861608,-0.382502222471359,-0.383731654595363,-0.369539163986388
-0.842101206027715,-0.813145684803486,-0.696761853769415,-0.669546387880032,-0.622405474098154,-0.620308012533101,-0.61402512091868,-0.630914861258798,-0.61349936677492,-0.608565776741202,-0.589388101091852,-0.585388346194348,-0.564475548690685,-0.520695748557348,-0.501018276572451,-0.517528808711329,-0.462666047122143,-0.44407789188522,-0.436937709392909,-0.428550508320547,-0.413482363964846,-0.405088484861156,-0.403189047738285,-0.426205972771906,-0.423963467929122,-0.423773619515834,-0.424677485927449,-0.432333198112421,-0.417216937918724,-0.410688005220015,-0.410053425619411,-0.401700183692919,-0.392860080863528,-0.38238284168296,-0.383825100105933,-0.379117709977268,-0.380710711013368,-0.388291869436379,-0.382028284555681,-0.362928556013076,-0.363710564250023
-0.782200364928378,-0.752780744015616,-0.772159641094544,-0.761045932782414,-0.694410507127863,-0.67107589206695,-0.653361788378735,-0.624298459372818,-0.613222554814589,-0.592688174911583,-0.594928607236711,-0.573923384277603,-0.551287434693145,-0.553696727712482,-0.546331399745317,-0.52668542714247,-0.535890279641233,-0.503175923139929,-0.481734187595593,-0.508292902226321,-0.473697323805502,-0.456111426160691,-0.457221556460076,-0.453910695343205,-0.437929197413516,-0.464134970594508,-0.456908938749221,-0.460459996117055,-0.465480967928443,-0.468474579626216,-0.455435174338135,-0.443926417313222,-0.469110912856201,-0.451902629318564,-0.424726588160761,-0.414423235827496,-0.377477065972657,-0.383988368546209,-0.402503107701928,-0.402486648818604,-0.404224747099059
-0.829639732921685,-0.742374688119095,-0.699657380501256,-0.678330232343784,-0.646202204859649,-0.608353327077009,-0.561729803845066,-0.526053166758689,-0.552819593390701,-0.515905494284847,-0.490350165363291,-0.517892138689756,-0.517447706538772,-0.521267298535083,-0.510440192390265,-0.485235575696731,-0.45520713696838,-0.448000931747188,-0.454621180793205,-0.468542336966289,-0.47017843939549,-0.470672672172666,-0.481237302401401,-0.484899021414317,-0.466943652899033,-0.446056082980599,-0.461730066814471,-0.459292569632182,-0.455017788664287,-0.461481348959239,-0.466163326086234,-0.470621604097447,-0.45144481121716,-0.457277767718128,-0.460892464280742,-0.468785628587736,-0.462974283748912,-0.46840351325998,-0.4610182791297,-0.468318847502128,-0.478940979353748
-0.838262109162816,-0.788812853715367,-0.739127636316778,-0.668804036186277,-0.647046406335751,-0.634701001873279,-0.607184927028218,-0.596847650817489,-0.620818845132158,-0.62227726070081,-0.577478371478163,-0.599175743995573,-0.584832973010008,-0.589965784342034,-0.586598902913117,-0.584144518826664,-0.589928988569387,-0.55735284529507,-0.533921424695531,-0.537564289640515,-0.535086511079785,-0.527050091093865,-0.509376150065269,-0.482125953407741,-0.465716388908571,-0.465253547352484,-0.450820704098732,-0.460138382911154,-0.470777136098081,-0.444016530810921,-0.452981866891407,-0.438278630173,-0.440318575180588,-0.422616621250377,-0.411125567368072,-0.409450728297283,-0.409174031969897,-0.421073595522297,-0.420034048869609,-0.414189136584957,-0.40060107863473
-0.763533239686832,-0.684225970229845,-0.713817117810353,-0.664317268499591,-0.661999938495495,-0.684826953119823,-0.629514313021071,-0.599789671323069,-0.627937399695946,-0.621363327198682,-0.599374942297111,-0.573589599160882,-0.580261318553424,-0.576675397114941,-0.566620661254287,-0.540620243287373,-0.506577524599618,-0.481456570549174,-0.493290765424208,-0.495737786492435,-0.497457460308607,-0.501359020867401,-0.498093060648305,-0.49554401392916,-0.471461965864952,-0.454244511628592,-0.459963474067564,-0.441399581969295,-0.435678441060015,-0.416505219724448,-0.404292313595458,-0.400015928625823,-0.403491377977316,-0.39488396791131,-0.398038934474856,-0.388823744303974,-0.389701170225972,-0.402436982281883,-0.384042924717037,-0.388670641830819,-0.372915228309233
-0.837350281469037,-0.731721180310664,-0.702158031005513,-0.679466026495423,-0.655408404869655,-0.63435359866299,-0.618623915821493,-0.597786183494628,-0.625944594618393,-0.593725242257072,-0.614969429927257,-0.593601376323223,-0.590468916732582,-0.592463237994605,-0.587422407466883,-0.558971907267576,-0.536378680760811,-0.532478887784051,-0.534392353056047,-0.508240665404768,-0.497064164034065,-0.492924779277014,-0.492544921233706,-0.483213550214357,-0.478017157596324,-0.466827361743849,-0.451447223004297,-0.462584384437233,-0.459581341842841,-0.465321215663846,-0.444273053295552,-0.465355259871314,-0.481076150337632,-0.476876795981493,-0.472998273718789,-0.455607121575127,-0.455665131957304,-0.455714213240983,-0.445275179151612,-0.444041263780869,-0.425006977600831
-0.766345579207154,-0.704549448881977,-0.651201953083428,-0.624342339810606,-0.627991108300872,-0.550638821949373,-0.510129651630512,-0.440648354855726,-0.466541403886524,-0.483458684095753,-0.514497152599788,-0.548285145840624,-0.529018322411922,-0.51318055404507,-0.514144731524039,-0.526294413962685,-0.500823590439136,-0.482118501112489,-0.477580572208996,-0.47873416838516,-0.447627063368182,-0.456561763309124,-0.472257524765915,-0.473172411127717,-0.453418599789609,-0.47857824154703,-0.484170422633075,-0.471886707312584,-0.482981524092211,-0.466518334665926,-0.472613330807522,-0.502258437003075,-0.499890347940772,-0.511237200251629,-0.502514613495156,-0.50437678558986,-0.471130825511867,-0.463204827297739,-0.460993592991396,-0.452427792538987,-0.447713937183307
-0.785764758631852,-0.785589433514822,-0.727049681508734,-0.695421790303816,-0.615591570819361,-0.588806953326577,-0.584155687126248,-0.577626274342502,-0.540953629682298,-0.556591938937932,-0.544272902651691,-0.54431010159811,-0.538803087325491,-0.547661341146298,-0.533753704752051,-0.528952676390141,-0.497073997918147,-0.502419955643451,-0.478795779517317,-0.482487635224091,-0.500373821309568,-0.497983456694542,-0.498544212643104,-0.492292431986898,-0.491775353419108,-0.518630485524854,-0.52694508230343,-0.513519669855899,-0.515437563469651,-0.533095439613216,-0.51395202036785,-0.489083313352018,-0.493655802832379,-0.501968879251043,-0.522529834368201,-0.528981892608613,-0.501291101073016,-0.494521447659485,-0.482718510016956,-0.479836018912171,-0.478057206865716
-0.780237648998695,-0.676415954510451,-0.64488426491717,-0.621721586025353,-0.576855795195512,-0.574229313475926,-0.620205890338697,-0.578913767536331,-0.591258897730898,-0.587901271850531,-0.588915468858733,-0.583418561387096,-0.579612805099946,-0.573704018873058,-0.557582412592728,-0.521790287202443,-0.501223661914374,-0.483086182465033,-0.482713870707718,-0.476784002522602,-0.472981247678363,-0.467563222854762,-0.466784038168048,-0.454019606481281,-0.448864076756983,-0.44237861560482,-0.435175123572758,-0.427146073986695,-0.410857136848816,-0.405582594480522,-0.383919865387626,-0.406639492949878,-0.413485078362975,-0.409018122310492,-0.434973534768847,-0.437347124687007,-0.448920251713218,-0.44528303630186,-0.465842186413348,-0.483232803287057,-0.491009106456021
-0.84061769247639,-0.757166930322426,-0.728093902067677,-0.631103234628664,-0.625395631771378,-0.594974360712446,-0.590204514561828,-0.59671362914895,-0.57784503779133,-0.54427175202962,-0.510546451280076,-0.537291780539794,-0.479228696113502,-0.470846161201442,-0.468067281183195,-0.439236102990303,-0.448374206793274,-0.458463501324851,-0.469505156516664,-0.486203852978508,-0.481746620996246,-0.486064106147378,-0.475701961391146,-0.463382214516923,-0.450197251652496,-0.461895265868269,-0.456588228013143,-0.463488916795716,-0.471686079622767,-0.470299065295791,-0.478119201443772,-0.494397163796445,-0.504646138380825,-0.497644570211768,-0.5096481749596,-0.493223899620987,-0.501570461659634,-0.509881866911134,-0.517509300320089,-0.500444198238146,-0.499247581439959
-0.797345958375087,-0.723781385832565,-0.635844978221961,-0.59389039126319,-0.600204303993188,-0.616022788666002,-0.605882986612948,-0.597347349440651,-0.625409738771192,-0.6046314135806,-0.622578046606048,-0.604373219495171,-0.614151087405458,-0.622435047929578,-0.613533327009118,-0.589432498319725,-0.546431572800834,-0.524593422225996,-0.53575732062989,-0.508790500751535,-0.498542908360458,-0.484425601551814,-0.488473567238548,-0.479729571165052,-0.484198804744074,-0.473342119915065,-0.500591361473988,-0.48376102539957,-0.480435853775264,-0.469770896509691,-0.450673973487454,-0.447096062067333,-0.443416772659256,-0.424645235686393,-0.450304108389373,-0.440103521024087,-0.440569669415232,-0.439530076376187,-0.429462701122808,-0.427339674175904,-0.428207197968364
-0.918124511113807,-0.856771351741821,-0.803070111345717,-0.776445457974543,-0.748349547913747,-0.743236937222007,-0.730482157759199,-0.730754708049098,-0.701612571003395,-0.695442857223877,-0.681299513875903,-0.697813404389497,-0.673429273279546,-0.661655830789635,-0.633872767780739,-0.61024778277234,-0.592212389777395,-0.625427668162351,-0.629586950398344,-0.599221588666014,-0.569849092905913,-0.552236758328902,-0.547735050677625,-0.510387164203171,-0.511524845409716,-0.502017259901451,-0.494349274555152,-0.48595923749527,-0.490368552065292,-0.495580084608395,-0.485196792908097,-0.484020104643288,-0.46578713504526,-0.441388705091178,-0.464026291623956,-0.472880251319567,-0.480257270319022,-0.477625288117016,-0.452200186038017,-0.449498173549772,-0.441262975021426
-0.934134044454089,-0.878789850418385,-0.752535846701758,-0.703169949585049,-0.656063872034627,-0.624159722490211,-0.63713877938786,-0.627596079379397,-0.572149403679598,-0.580858216625686,-0.592619024902569,-0.599409776615796,-0.555088478163087,-0.534693800785974,-0.538704709136714,-0.546485703571144,-0.525160765550116,-0.49527854503545,-0.502136520032193,-0.511778103588925,-0.506899578657543,-0.490093917537214,-0.469650890372416,-0.504836868112119,-0.490570106220904,-0.476622960148538,-0.458640703868454,-0.469275365983897,-0.459686696704064,-0.45051489573363,-0.451421992551799,-0.438353504368512,-0.424587398161351,-0.449500532584576,-0.442510609539023,-0.413488665161891,-0.41800162455045,-0.40501075924407,-0.410814787865236,-0.396732049521076,-0.399749414321316
-0.829275632790407,-0.751434707971097,-0.679087001628946,-0.629670227823592,-0.598382400298405,-0.632474778319408,-0.598733963827832,-0.602156657874365,-0.611816922158826,-0.662268466093263,-0.635057947996728,-0.597736565939936,-0.58544838166056,-0.558174396832585,-0.504962124228486,-0.505900945512064,-0.521515723148921,-0.491111254796222,-0.474923852185619,-0.465375971774719,-0.465461177894419,-0.465358366468951,-0.446435488683271,-0.438169704274366,-0.440114340334597,-0.435817655273346,-0.442815815654825,-0.444705895084814,-0.446490812415897,-0.405905665857217,-0.366225363201264,-0.373651187267421,-0.367393295791348,-0.328789439666007,-0.334729008175465,-0.348920144436971,-0.354138184238451,-0.38178350890768,-0.360592220775279,-0.369526820091355,-0.367282552184746
-0.794185770872938,-0.746553766858546,-0.740989946169615,-0.704172543113721,-0.712789962776917,-0.698151340730047,-0.705769162428305,-0.699186788910169,-0.651622325924461,-0.605934938561766,-0.602475498853983,-0.586596296915661,-0.544370216570655,-0.563440494117683,-0.557226952793973,-0.581395516824803,-0.571109760393444,-0.555890948787089,-0.541900529323181,-0.534703503026157,-0.51122511044773,-0.527109397564108,-0.542117487001483,-0.531574988085262,-0.540229700518472,-0.524845626118545,-0.513396199699454,-0.520133631346707,-0.54017579193941,-0.540931704759046,-0.535515920236089,-0.535142491362461,-0.513918908059591,-0.481021995253148,-0.481294481165667,-0.452537099139629,-0.442318074607638,-0.426368945890948,-0.425662825749408,-0.401982397278053,-0.408976115570941
