"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
-0.716351820714227,-0.668147644125909,-0.680090193908778,-0.653834373210733,-0.604601661974861,-0.648188059657661,-0.653741040416686,-0.63439883289014,-0.636445773105756,-0.658928923576101,-0.612210429158189,-0.600066902592116,-0.596942481443949,-0.581645802442172,-0.584169437400903,-0.610926632855502,-0.588433235405819,-0.563570666060873,-0.526514589521476,-0.544297240776906,-0.567282692297837,-0.567377627439737,-0.578496330519187,-0.611380596020686,-0.601358005353994,-0.597410860174227,-0.594483517163094,-0.57831959381016,-0.555442444093936,-0.548619401785856,-0.550778043802511,-0.551815106255707,-0.553272943378673,-0.568852560186603,-0.568142398368659,-0.563395219369727,-0.557331247821471,-0.547784507201731,-0.580329863838547,-0.571815466504355,-0.562112424850796
-0.694953582800988,-0.712755413849805,-0.733932257475542,-0.736811357907407,-0.706242180121539,-0.705116439995066,-0.690829948818298,-0.684421509623661,-0.66665493525685,-0.663167958859821,-0.657189027992378,-0.673603773347044,-0.66370203456404,-0.683645429522534,-0.661857454739383,-0.635963571106832,-0.614469597540649,-0.616565229783468,-0.628175282581076,-0.628555716042492,-0.618900802797192,-0.580714473645125,-0.560114142507001,-0.558997119287532,-0.54647930919136,-0.531823078599923,-0.528919845386502,-0.545649797901908,-0.533214195700779,-0.507060818116984,-0.516047766034064,-0.53797715786593,-0.534103790847594,-0.53086389348301,-0.530806337304135,-0.548618481823424,-0.529933766539643,-0.533686927292611,-0.525214512392845,-0.519212377521729,-0.506802423558491
-0.724589051347719,-0.703733994913402,-0.675207203791052,-0.697782586965718,-0.650951592331803,-0.637203851352116,-0.57139075072013,-0.576661361294627,-0.547484421434983,-0.540288944417257,-0.55703525895038,-0.558111306591883,-0.569149259430367,-0.554959576857727,-0.529333562006633,-0.519059656289703,-0.520022220961446,-0.517101168629326,-0.506237611105516,-0.522641539887274,-0.529810412316758,-0.546481749826688,-0.528514128347655,-0.559265838875287,-0.536620495870099,-0.545835350754454,-0.544107750908162,-0.530934186300263,-0.507272215953635,-0.516704992600955,-0.503837966967036,-0.490730365742075,-0.472219352618973,-0.476751238167818,-0.468373621679205,-0.486357862562256,-0.480584218778794,-0.495054444208864,-0.472592592821547,-0.471562793075591,-0.465369242499588
-0.586487407668972,-0.639455553753073,-0.615937900103987,-0.604434622874333,-0.609444869593464,-0.614515473858492,-0.615880643437372,-0.573449963992809,-0.558966242877928,-0.541528955530796,-0.539132576382675,-0.547349003792973,-0.537020296910356,-0.521258563185163,-0.539671505670975,-0.549976851889926,-0.528463891321597,-0.523030938342413,-0.558841536857768,-0.579809185948309,-0.564391827505853,-0.578164150696875,-0.593494539096506,-0.563433339953898,-0.552863591823642,-0.555653797151721,-0.556487938801178,-0.554526211998437,-0.543364368367966,-0.53754252602081,-0.500165520319193,-0.500787765332631,-0.506881381017426,-0.489357816423079,-0.489820725588585,-0.486728593757277,-0.479051167150109,-0.471925839656679,-0.46848323421634,-0.449947358342909,-0.440185136121662
-0.682969529684419,-0.682396053630101,-0.671278043417817,-0.705796051734123,-0.765605732043465,-0.76457764971735,-0.796730702893011,-0.789726780810096,-0.792834870864773,-0.777927574440585,-0.768136248229554,-0.737190963082703,-0.702626413724673,-0.698145129603338,-0.721528807389018,-0.722985079972705,-0.678951499802391,-0.648117951115984,-0.633118862901277,-0.59870845563722,-0.610717093681219,-0.61049095661212,-0.617011238754935,-0.586397846780825,-0.592838731886364,-0.615951631629041,-0.630046005686108,-0.651870921012995,-0.648985211167764,-0.645044372632452,-0.648726918339836,-0.640530352074148,-0.623952797187248,-0.617271481940219,-0.616692041012748,-0.608122075943635,-0.597094936789229,-0.573180907266417,-0.567772130065536,-0.573708589755665,-0.576226301737835
-0.707477108226791,-0.71159918186225,-0.688046406080828,-0.721241546812198,-0.720962491476966,-0.728455491156881,-0.696485981774267,-0.690565699358846,-0.655046226119865,-0.617111616155484,-0.615493632676798,-0.615010267455125,-0.593941044678735,-0.617182108430423,-0.601016415319114,-0.569066509176074,-0.552979614265996,-0.555245989105212,-0.560184526497239,-0.542483776121476,-0.560108401137972,-0.571991042204897,-0.571880366003368,-0.557467672854938,-0.545369685820723,-0.537544377592653,-0.538666065088829,-0.543312666224669,-0.515497911410729,-0.508709700313636,-0.477370972036911,-0.480226464844692,-0.45045520412802,-0.451396345706791,-0.473988731987883,-0.474396915587755,-0.478128202872344,-0.467305641062524,-0.493610364455869,-0.462048180091325,-0.481138763112295
-0.680013113632681,-0.672822632508521,-0.656676069370746,-0.666438958441623,-0.682452585056592,-0.662870214188085,-0.638700377377612,-0.611148305363532,-0.615002732205287,-0.576507568306474,-0.565831575264275,-0.596565192451471,-0.573368639752267,-0.568640116289271,-0.549419662094,-0.543066413293675,-0.555858517728264,-0.560591210728479,-0.584080436769643,-0.612453191167918,-0.6237883296155,-0.625092944536979,-0.59850936711968,-0.603444492551393,-0.60988485075359,-0.626657970228589,-0.625435377359353,-0.631342385782527,-0.676058688000639,-0.654264157619982,-0.675260060454308,-0.686764599727268,-0.674269596419036,-0.68747197159876,-0.68686255678872,-0.67777904757788,-0.664270351466832,-0.66606991369184,-0.668860830949027,-0.662072894560197,-0.664390850189378
-0.668387336695986,-0.582906228130458,-0.670359834880745,-0.676557677613009,-0.608723999040593,-0.592429011472079,-0.582305144539299,-0.575787425859725,-0.591309875627014,-0.554828457757982,-0.548238143114757,-0.550608996389244,-0.545300956710432,-0.546953831372274,-0.552238835134604,-0.54772226892741,-0.53591918885287,-0.526508797068941,-0.529912529392589,-0.532715546187911,-0.529007017564044,-0.541171281576517,-0.5280851017069,-0.503668854312044,-0.508253926716968,-0.498771763728501,-0.49589397589203,-0.529626776225993,-0.525968435130835,-0.523484295682683,-0.549316822850518,-0.540316814855523,-0.538779595746538,-0.549895777960337,-0.546059159401414,-0.538523807215295,-0.553106803346606,-0.549220568278026,-0.532626363400325,-0.539050025570894,-0.537719263543888
-0.841797387689254,-0.85508405718404,-0.801747001099375,-0.744788718011596,-0.728876297270464,-0.699085493993334,-0.660015903457852,-0.609427817206156,-0.654751457473601,-0.657989967000396,-0.671030650995316,-0.670274898010433,-0.644138414931424,-0.628925333619863,-0.609890696500591,-0.569053423715985,-0.546432123674559,-0.529574984713977,-0.553206110588122,-0.569646159289417,-0.548534620181482,-0.553701806814353,-0.526755162841512,-0.542018835751261,-0.515011542777628,-0.510613893719771,-0.494100670954758,-0.469831965951526,-0.467571770947098,-0.484062584326229,-0.487252227829303,-0.471316578065839,-0.476513656338318,-0.466923731306426,-0.492124965585778,-0.491997441736178,-0.486483277288521,-0.466319119000017,-0.453239451775019,-0.45030200494995,-0.456500651819998
-0.855945475709845,-0.839489779609614,-0.83665141918049,-0.836840757100157,-0.835010592508773,-0.818492461605778,-0.791689605041435,-0.743581371609146,-0.756972515210201,-0.72303551996992,-0.699706864834529,-0.688400893115961,-0.678827978451467,-0.639457974794522,-0.606253056634051,-0.594647275297941,-0.599700933791472,-0.609069798615441,-0.593581075031129,-0.598740499503277,-0.601061209115,-0.608297462934649,-0.561206106222847,-0.530904961890652,-0.531941111675374,-0.554252750055082,-0.559585827577994,-0.568679495747181,-0.546072592043443,-0.537126045632915,-0.558549818900288,-0.552568686829708,-0.551154835841014,-0.557981941632611,-0.572139534695498,-0.537469438081573,-0.54767709776411,-0.544174159762315,-0.539461088535478,-0.523571355727834,-0.513752593436389
